title,release_year,rating,runtime,summary,popularity,total_reviewers,user_reviews,critic_reviews
1917,2019,8.2,1h 59m,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from wa... Read all",421,578K,3.4K,520
Der Untergang,2004,8.2,2h 36m,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","1,347",355K,679,115
Per qualche dollaro in più,1965,8.2,2h 12m,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,"3,517",256K,343,107
Batman Begins,2005,8.2,2h 20m,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",543,1.5M,3.1K,340
Dangal,2016,8.2,2h 41m,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"2,175",190K,465,64
The Kid,1921,8.2,d1h 8m,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",,127K,234,116
Some Like It Hot,1959,8.2,G2h 1m,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",777,267K,496,231
All About Eve,1950,8.2,2h 18m,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,"3,450",132K,419,155
The Father,2020,8.2,1h 37m,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his... Read all",842,150K,1K,315
Green Book,2018,8.2,2h 10m,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,472,484K,1.7K,424
The Wolf of Wall Street,2013,8.2,13RR3h,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",124,1.4M,1.7K,427
Judgment at Nuremberg,1961,8.2,2h 59m,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",,78K,248,106
Ran,1985,8.2,2h 42m,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn o... Read all","3,241",126K,327,169
Casino,1995,8.2,2h 58m,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fas... Read all",580,517K,738,148
Pan's Labyrinth,2006,8.2,1h 58m,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",555,666K,1.3K,463
Unforgiven,1992,8.2,2h 10m,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","1,095",411K,684,142
There Will Be Blood,2007,8.2,2h 38m,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",571,583K,1.5K,358
Spider-Man: No Way Home,2021,8.2,2h 28m,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it trul... Read all",102,736K,6.1K,412
The Truman Show,1998,8.2,1h 43m,An insurance salesman discovers his whole life is actually a reality TV show.,579,1.1M,1.4K,252
The Sixth Sense,1999,8.2,1h 47m,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",352,986K,2.3K,262
A Beautiful Mind,2001,8.2,2h 15m,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",861,928K,1.4K,159
Yôjinbô,1961,8.1,1h 50m,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,,123K,232,139
Monty Python and the Holy Grail,1975,8.1,1h 31m,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","1,562",540K,844,116
The Treasure of the Sierra Madre,1948,8.1,d2h 6m,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,,125K,313,107
Shutter Island,2010,8.1,2h 18m,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",266,1.3M,1.5K,525
Jurassic Park,1993,8.1,G2h 7m,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned din... Read all,261,982K,1.3K,256
Rashômon,1950,8.1,1h 28m,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",,169K,390,138
The Great Escape,1963,8.1,2h 52m,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"1,591",244K,426,122
Kill Bill: Vol. 1,2003,8.1,1h 51m,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",500,1.1M,2.4K,333
No Country for Old Men,2007,8.1,R2h 2m,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,293,964K,2K,528
Finding Nemo,2003,8.1,1h 40m,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","1,238",1M,1K,164
The Elephant Man,1980,8.1,G2h 4m,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, inte... Read all","1,896",241K,470,164
Chinatown,1974,8.1,2h 10m,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","1,685",326K,609,164
The Thing,1982,8.1,1h 49m,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,220,422K,1.3K,382
Raging Bull,1980,8.1,22h 9m,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","2,181",353K,660,161
Gone with the Wind,1939,8.1,3h 58m,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.,"1,266",315K,971,195
V for Vendetta,2005,8.1,2h 12m,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",626,1.1M,2.4K,212
Inside Out,2015,8.1,1h 35m,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and... Read all",926,707K,1.1K,595
"Lock, Stock and Two Smoking Barrels",1998,8.1,1h 47m,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.","1,245",580K,638,119
Dial M for Murder,1954,8.1,1h 45m,A former tennis star arranges the murder of his adulterous wife.,"4,291",176K,417,115
El secreto de sus ojos,2009,8.1,R2h 9m,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt hi... Read all,"2,342",210K,343,286
Hauru no ugoku shiro,2004,8.1,1h 59m,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions ... Read all","1,094",392K,557,241
The Bridge on the River Kwai,1957,8.1,2h 41m,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid t... Read all","2,739",221K,373,111
"Three Billboards Outside Ebbing, Missouri",2017,8.1,1h 55m,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,630,503K,1.3K,575
Trainspotting,1996,8.1,1h 33m,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",836,684K,683,156
Warrior,2011,8.1,2h 20m,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision ... Read all",881,471K,809,336
Gran Torino,2008,8.1,1h 56m,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.","2,169",773K,1.1K,366
Fargo,1996,8.1,1h 38m,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,825,675K,1K,235
Prisoners,2013,8.1,2h 33m,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",143,704K,1.1K,498
Tonari no Totoro,1988,8.1,1h 26m,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","2,543",337K,560,148
Million Dollar Baby,2004,8.1,2h 12m,A determined woman works with a hardened boxing trainer to become a professional.,"1,730",685K,1.3K,261
Catch Me If You Can,2002,8.1,2h 21m,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",623,971K,989,199
The Gold Rush,1925,8.1,1h 35m,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",,112K,220,128
Bacheha-Ye aseman,1997,8.1,1h 29m,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",,75K,204,62
Blade Runner,1982,8.1,1h 57m,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",439,765K,1.7K,289
On the Waterfront,1954,8.1,1h 48m,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of ... Read all","1,691",155K,385,166
12 Years a Slave,2013,8.1,2h 14m,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","1,133",698K,965,489
Before Sunrise,1995,8.1,1h 41m,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","1,205",307K,595,158
The Third Man,1949,8.1,1h 44m,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","4,234",172K,517,215
Smultronstället,1957,8.1,1h 31m,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",,108K,216,106
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,2h 10m,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",452,868K,1K,490
Ben-Hur,1959,8.1,3h 32m,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.","2,663",239K,497,134
Gone Girl,2014,8.1,2h 29m,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",314,975K,1.7K,632
The General,1926,8.1,d1h 7m,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized ... Read all",,92K,331,122
The Deer Hunter,1978,8.1,53h 3m,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,"1,744",339K,1.2K,145
The Grand Budapest Hotel,2014,8.1,1h 39m,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",374,802K,1K,578
In the Name of the Father,1993,8.1,2h 13m,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"3,557",175K,219,64
Barry Lyndon,1975,8.1,G3h 5m,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"1,609",168K,527,104
Le salaire de la peur,1953,8.1,2h 11m,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",,61K,188,142
Sherlock Jr.,1924,8.1,sed45m,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",,50K,347,70
Mr. Smith Goes to Washington,1939,8.1,d2h 9m,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries... Read all",,116K,338,97
Salinui chueok,2003,8.1,2h 11m,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",763,182K,386,181
Hacksaw Ridge,2016,8.1,2h 19m,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor ... Read all",561,520K,1.1K,481
Klaus,2019,8.1,1h 36m,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliv... Read all","3,500",148K,801,117
Relatos salvajes,2014,8.1,R2h 2m,Six short stories that explore the extremities of human behavior involving people in distress.,"1,564",198K,279,317
Det sjunde inseglet,1957,8.1,1h 36m,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","3,146",185K,391,144
Room,2015,8.1,1h 58m,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","1,003",419K,791,486
Mad Max: Fury Road,2015,8.1,15RR2h,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named ... Read all",440,994K,2.2K,840
Mary and Max.,2009,8.1,1h 32m,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New Y... Read all","4,862",177K,260,181
How to Train Your Dragon,2010,8.1,1h 38m,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","1,581",736K,708,193
The Big Lebowski,1998,8.1,1h 57m,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help whi... Read all",444,804K,1.4K,204
"Monsters, Inc.",2001,8.1,1h 32m,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things ... Read all","1,028",903K,767,245
Jaws,1975,8.1,G2h 4m,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",313,603K,1.4K,298
Tôkyô monogatari,1953,8.1,2h 16m,"An old couple visit their children and grandchildren in the city, but receive little attention.",,62K,198,100
La passion de Jeanne d'Arc,1928,8.1,1h 50m,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",,55K,230,136
Dead Poets Society,1989,8.1,G2h 8m,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,725,487K,756,119
Hotel Rwanda,2004,8.1,32h 1m,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","3,886",355K,709,158
Ford v Ferrari,2019,8.0,2h 32m,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 2... Read all,263,387K,1.5K,355
Rocky,1976,8.0,PGPG2h,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"1,360",573K,788,192
Platoon,1986,8.0,86RR2h,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and th... Read all","1,411",413K,670,135
Pather Panchali,1955,8.0,d2h 5m,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",,33K,185,119
Everything Everywhere All at Once,2022,8.0,2h 19m,"An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led.",32,224K,2.1K,332
Stand by Me,1986,8.0,1h 29m,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",370,402K,783,137
The Terminator,1984,8.0,1h 47m,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn so... Read all",588,860K,1K,250
Spotlight,2015,8.0,R2h 9m,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","1,111",468K,695,515
Rush,2013,8.0,R2h 3m,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,495,478K,641,424
Logan,2017,8.0,2h 17m,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to s... Read all",384,756K,1.7K,658
Ratatouille,2007,8.0,1h 51m,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,740,729K,855,305
Network,1976,8.0,R2h 1m,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",851,160K,434,184
Into the Wild,2007,8.0,2h 28m,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska ... Read all",962,621K,1K,246
The Wizard of Oz,1939,8.0,1h 42m,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can retu... Read all",701,398K,798,165
Before Sunset,2004,8.0,1h 20m,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","2,677",263K,597,237
Groundhog Day,1993,8.0,1h 41m,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.","1,326",628K,897,142
The Exorcist,1973,8.0,52h 2m,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",159,405K,1.4K,235
Jai Bhim,2021,8.0,2h 44m,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","3,675",200K,3.3K,21
The Best Years of Our Lives,1946,8.0,2h 50m,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",,65K,337,114
To Be or Not to Be,1942,8.0,1h 39m,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","4,990",38K,161,66
The Incredibles,2004,8.0,1h 55m,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.","1,035",732K,1K,240
La battaglia di Algeri,1966,8.0,d2h 1m,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",,60K,312,145
Hachi: A Dog's Tale,2009,8.0,1h 33m,A college professor bonds with an abandoned dog he takes into his home.,"2,093",284K,613,97
The Grapes of Wrath,1940,8.0,d2h 9m,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great... Read all",,93K,390,99
Rebecca,1940,8.0,2h 10m,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"3,218",137K,388,214
Amores perros,2000,8.0,2h 34m,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","2,875",240K,420,154
Babam ve Oglum,2005,8.0,1h 52m,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,,87K,138,8
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,2h 23m,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",435,1.1M,2.3K,182
La haine,1995,8.0,1h 38m,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"2,266",173K,257,91
Cool Hand Luke,1967,8.0,P2h 7m,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","1,956",177K,388,107
Les quatre cents coups,1959,8.0,1h 39m,"A young boy, left without attention, delves into a life of petty crime.",,118K,238,181
Persona,1966,8.0,1h 25m,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"3,440",119K,269,145
Ah-ga-ssi,2016,8.0,2h 25m,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",317,146K,329,350
It Happened One Night,1934,8.0,1h 45m,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behin... Read all","4,968",104K,343,129
The Sound of Music,1965,8.0,2h 52m,A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,828,234K,531,134
Life of Brian,1979,8.0,1h 34m,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.","2,370",399K,453,122
Dersu Uzala,1975,8.0,2h 22m,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,,30K,119,55
The Help,2011,8.0,2h 26m,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and th... Read all",946,458K,646,298
Gandhi,1982,8.0,3h 11m,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,"3,800",232K,331,110
Aladdin,1992,8.0,1h 30m,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"1,522",417K,383,152
The Iron Giant,1999,8.0,1h 26m,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"2,057",196K,627,142
